pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,probe.stopped,participant,session,date,expName,psychopyVersion,frameRate
150,v,,,,,21,1,85,1,486.3187153,487.3194497,487.3194497,487.3194497,487.3194497,487.3194497,488.318578,488.318578,v,1,0.855045054,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,21,2,86,0,489.2025852,490.1868107,490.1868107,490.1868107,490.1868107,490.2015248,491.1860906,491.1860906,x,1,0.668914469,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,21,3,87,3,491.8679548,492.868394,492.868394,492.868394,492.868394,492.868394,493.8687984,493.8687984,z,1,0.686649627,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,22,0,88,2,494.5682002,495.5682701,495.5682701,495.5682701,495.5682701,495.5682701,496.5687654,496.5687654,c,1,0.7348082,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,22,1,89,3,497.3179978,498.3191669,498.3191669,498.3191669,498.3191669,498.3191669,499.3182229,499.3182229,z,1,0.520901438,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,22,2,90,2,499.850946,500.8512157,500.8512157,500.8512157,500.8512157,500.8512157,501.8524893,501.8524893,c,1,0.63586925,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,22,3,91,2,502.501176,503.5025476,503.5025476,503.5025476,503.5025476,503.5025476,504.5020598,504.5020598,c,1,0.501989933,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,,,,,23,0,92,1,505.017896,506.0186124,506.0186124,506.0186124,506.0186124,506.0186124,507.017819,507.017819,v,1,0.735504031,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,,,,,23,1,93,1,507.768094,508.7681337,508.7681337,508.7681337,508.7681337,508.7681337,509.7681037,509.7681037,v,1,0.785541986,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,23,2,94,0,510.5677864,511.5685942,511.5685942,511.5685942,511.5685942,511.5685942,512.5680332,512.5680332,x,1,1.002332982,513.5847823,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,23,3,95,3,513.5847823,514.5857032,514.5857032,514.5857032,514.5857032,514.5857032,515.5843378,515.5843378,z,1,0.635674276,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
